23 B1=2000, B2=147396, sigma=564801957
249123313 B1=2000, B2=147396, sigma=1233329232
250500533 B1=2000, B2=675370, sigma=3159783595[0m
250820257 B1=2000, B2=675370, sigma=1080764163[0m
267505499 B1=2000, B2=748686, sigma=4137853300[0m
271268741 B1=2000, B2=147396, sigma=1490268325
302197531 B1=2000, B2=748686, sigma=4142990469[0m
302230781 B1=2000, B2=675370, sigma=156310023[0m
323553889 B1=2000, B2=675370, sigma=1026680143[0m
343852073 B1=2000, B2=748686, sigma=3847102048[0m
351169817 B1=2000, B2=748686, sigma=2823121786[0m
371605987 B1=2000, B2=147396, sigma=2058497163
380643733 B1=2000, B2=675370, sigma=3986171945[0m
435301171 B1=2000, B2=675370, sigma=2989653841[0m
448894351 B1=2000, B2=675370, sigma=1440468840[0m
449095429 B1=2000, B2=748686, sigma=353297972[0m
460169819 B1=2000, B2=748686, sigma=1966781724[0m
477383083 B1=2000, B2=675370, sigma=929815545[0m
495116087 B1=2000, B2=147396, sigma=1752443142
535809661 B1=2000, B2=147396, sigma=2541828622
543621667 B1=2000, B2=147396, sigma=2174131166
555360563 B1=2000, B2=675370, sigma=454718177[0m
557960807 B1=2000, B2=748686, sigma=2754502235[0m
562174961 B1=2000, B2=675370, sigma=388945877[0m
563801933 B1=2000, B2=675370, sigma=1104475235[0m
596812379 B1=2000, B2=147396, sigma=1420506417
600992339 B1=2000, B2=147396, sigma=1055512012
605396053 B1=2000, B2=675370, sigma=3423684949[0m
639481153 B1=2000, B2=675370, sigma=4071447507[0m
640838329 B1=2000, B2=675370, sigma=3403086870[0m
662994071 B1=2000, B2=147396, sigma=2689127495
674281687 B1=2000, B2=675370, sigma=1538085434[0m
682471109 B1=2000, B2=675370, sigma=2690106177[0m
691806053 B1=2000, B2=748686, sigma=4060657681[0m
746968429 B1=2000, B2=675370, sigma=672407337[0m
752160701 B1=2000, B2=147396, sigma=3321399404
780104111 B1=2000, B2=147396, sigma=338732058
786591931 B1=2000, B2=147396, sigma=2919841845
814634827 B1=2000, B2=147396, sigma=1479186045
817921723 B1=2000, B2=147396, sigma=2755421561
818986309 B1=2000, B2=147396, sigma=2633635772
826370029 B1=2000, B2=675370, sigma=2322438820[0m
847027931 B1=2000, B2=675370, sigma=1305579590[0m
868668389 B1=2000, B2=147396, sigma=3464734726
886032281 B1=2000, B2=675370, sigma=1740097318[0m
960846569 B1=2000, B2=147396, sigma=2903422487
966716221 B1=2000, B2=675370, sigma=2520074267[0m
968931121 B1=2000, B2=147396, sigma=721700710
971633059 B1=2000, B2=147396, sigma=1979876438
990371647 B1=2000, B2=147396, sigma=3560679550
994821161 B1=2000, B2=675370, sigma=1227276182[0m
1028404693 B1=2000, B2=147396, sigma=1688395355
1050786707 B1=2000, B2=147396, sigma=2354267122
1052968387 B1=2000, B2=748686, sigma=2486136856[0m
1095000521 B1=2000, B2=147396, sigma=1212893403
1112558483 B1=2000, B2=748686, sigma=505599993[0m
1196321047 B1=2000, B2=675370, sigma=450610236[0m
1211426617 B1=2000, B2=748686, sigma=1919154625[0m
1216276361 B1=2000, B2=675370, sigma=2227850336[0m
1233229133 B1=2000, B2=675370, sigma=3843986169[0m
1237469203 B1=2000, B2=147396, sigma=1671095857
1251107623 B1=2000, B2=748686, sigma=1363533031[0m
1253477399 B1=2000, B2=675370, sigma=1351028523[0m
1278604963 B1=2000, B2=748686, sigma=1458617934[0m
1280419961 B1=2000, B2=147396, sigma=1791452719
1289376637 B1=2000, B2=748686, sigma=1260342692[0m
1289942179 B1=2000, B2=147396, sigma=1856035949
1372837117 B1=2000, B2=748686, sigma=4179228123[0m
1459369229 B1=2000, B2=748686, sigma=2637985061[0m
1495958887 B1=2000, B2=147396, sigma=606859148
1580181431 B1=2000, B2=147396, sigma=1021803899
1620536209 B1=2000, B2=147396, sigma=2909555655
1629120043 B1=2000, B2=675370, sigma=579879966[0m
1630338767 B1=2000, B2=675370, sigma=3036288084[0m
1656150641 B1=2000, B2=748686, sigma=2014119176[0m
1689986561 B1=2000, B2=675370, sigma=2815152485[0m
1700069869 B1=2000, B2=147396, sigma=4173889587
1780066111 B1=2000, B2=675370, sigma=3151142802[0m
1780389203 B1=2000, B2=675370, sigma=1703268444[0m
1867186631 B1=2000, B2=147396, sigma=3505532247
1910912797 B1=2000, B2=675370, sigma=1336797030[0m
2105965387 B1=2000, B2=147396, sigma=530005558
2164074433 B1=2000, B2=675370, sigma=1435869177[0m
2168823599 B1=2000, B2=147396, sigma=1549222916
2211954737 B1=2000, B2=675370, sigma=640008301[0m
2227094627 B1=2000, B2=748686, sigma=866663124[0m
2378394553 B1=2000, B2=675370, sigma=992038483[0m
2385830009 B1=2000, B2=675370, sigma=2916234859[0m
2427233713 B1=2000, B2=748686, sigma=335250043[0m
2446921591 B1=2000, B2=748686, sigma=2883015635[0m
2520117851 B1=2000, B2=748686, sigma=147128966[0m
2582543767 B1=2000, B2=675370, sigma=1140268185[0m
2796372413 B1=2000, B2=147396, sigma=2200923540
2817367447 B1=2000, B2=675370, sigma=3743232631[0m
2845203577 B1=2000, B2=675370, sigma=2069127684[0m
2892680801 B1=2000, B2=147396, sigma=482914623
2897338159 B1=2000, B2=675370, sigma=3947544761[0m
2958950663 B1=2000, B2=675370, sigma=3795862311[0m
2978529773 B1=2000, B2=147396, sigma=2512212177
3290894267 B1=2000, B2=748686, sigma=1348650948[0m
3329953213 B1=2000, B2=147396, sigma=122172009
3343613111 B1=2000, B2=748686, sigma=2794674835[0m
3410712853 B1=2000, B2=675370, sigma=891452205[0m
3615561017 B1=2000, B2=748686, sigma=2851982780[0m
3709059083 B1=2000, B2=748686, sigma=2357462324[0m
3864960439 B1=2000, B2=675370, sigma=4259928980[0m
3877586351 B1=2000, B2=675370, sigma=700994993[0m
4089929267 B1=2000, B2=147396, sigma=366840577
4231686269 B1=2000, B2=147396, sigma=967223019
4295213159 B1=2000, B2=748686, sigma=2514368416[0m
4577642353 B1=2000, B2=147396, sigma=860418497
4641961477 B1=2000, B2=675370, sigma=840623454[0m
4749273679 B1=2000, B2=748686, sigma=1157091182[0m
5118313159 B1=2000, B2=748686, sigma=3103988260[0m
5319777257 B1=2000, B2=748686, sigma=139063934[0m
5322416543 B1=2000, B2=675370, sigma=1928755314[0m
5435708251 B1=2000, B2=748686, sigma=762940492[0m
5518112099 B1=2000, B2=675370, sigma=983169681[0m
5545543127 B1=2000, B2=147396, sigma=680626210
5903938589 B1=2000, B2=147396, sigma=882669970
5960310359 B1=2000, B2=748686, sigma=3323487440[0m
6624443983 B1=2000, B2=675370, sigma=1506481627[0m
6679068943 B1=2000, B2=147396, sigma=2028668495
6770911613 B1=2000, B2=147396, sigma=889846884
6797624179 B1=2000, B2=748686, sigma=2054805195[0m
6833891881 B1=2000, B2=748686, sigma=1658999386[0m
6848001341 B1=2000, B2=147396, sigma=206077321
7636329313 B1=2000, B2=147396, sigma=1827701887
7829452637 B1=2000, B2=675370, sigma=2601350808[0m
7934480467 B1=2000, B2=675370, sigma=1026736697[0m
8119351231 B1=2000, B2=147396, sigma=1440684992
8272386277 B1=2000, B2=748686, sigma=2829356844[0m
8655384491 B1=2000, B2=147396, sigma=2362779349
8753012761 B1=2000, B2=675370, sigma=1734478617[0m
8753232737 B1=2000, B2=147396, sigma=3757969155
8912378411 B1=2000, B2=147396, sigma=4083058712
9039090497 B1=2000, B2=748686, sigma=4123240081[0m
9387119471 B1=2000, B2=147396, sigma=592471106
9414045959 B1=2000, B2=147396, sigma=869696177
9473275639 B1=2000, B2=147396, sigma=627318069
9540019891 B1=2000, B2=675370, sigma=651327450[0m
9679968773 B1=2000, B2=147396, sigma=982771828
10038933889 B1=2000, B2=147396, sigma=1330217379
10062970991 B1=2000, B2=147396, sigma=2097913907
10485066071 B1=2000, B2=147396, sigma=1940487724
11040197111 B1=2000, B2=147396, sigma=1674029628
11087751317 B1=2000, B2=147396, sigma=3527458065
11088655927 B1=2000, B2=675370, sigma=2171268935[0m
11092687007 B1=2000, B2=147396, sigma=2444389332
11878519559 B1=2000, B2=748686, sigma=3614054125[0m
11937767249 B1=2000, B2=147396, sigma=274952497
12141727141 B1=2000, B2=675370, sigma=1558713368[0m
12251132953 B1=2000, B2=675370, sigma=4188927204[0m
12670080767 B1=2000, B2=748686, sigma=2861413251[0m
13358414437 B1=2000, B2=147396, sigma=2173977451
13819244909 B1=2000, B2=147396, sigma=2180523277
14110655959 B1=2000, B2=147396, sigma=2714761043
14510530711 B1=2000, B2=147396, sigma=1159223436
14804172281 B1=2000, B2=675370, sigma=1163390772[0m
16377821101 B1=2000, B2=147396, sigma=2598837004
17356064087 B1=2000, B2=748686, sigma=3442645505[0m
17782710229 B1=2000, B2=147396, sigma=837550346
17811340913 B1=2000, B2=748686, sigma=2072106507[0m
19236006529 B1=2000, B2=675370, sigma=4290452766[0m
20266684489 B1=2000, B2=675370, sigma=3581739798[0m
20577358441 B1=2000, B2=675370, sigma=226726542[0m
20655077887 B1=2000, B2=147396, sigma=2599613686
21130472081 B1=2000, B2=748686, sigma=4084479110[0m
21790670819 B1=2000, B2=675370, sigma=19162014[0m
22067157677 B1=2000, B2=748686, sigma=345767841[0m
22196765671 B1=2000, B2=675370, sigma=455029954[0m
23752872037 B1=2000, B2=147396, sigma=1582622691
24780789497 B1=2000, B2=748686, sigma=3227506061[0m
24949183283 B1=2000, B2=675370, sigma=1601427746[0m
25708993039 B1=2000, B2=748686, sigma=3555727061[0m
26652494147 B1=2000, B2=675370, sigma=956503996[0m
28039148791 B1=2000, B2=147396, sigma=1409365812
28697702953 B1=2000, B2=147396, sigma=90356382
29718522091 B1=2000, B2=748686, sigma=4033106213[0m
29797999183 B1=2000, B2=748686, sigma=962228603[0m
31646681119 B1=2000, B2=675370, sigma=869467941[0m
33239291357 B1=2000, B2=675370, sigma=2307936646[0m
33340870427 B1=2000, B2=147396, sigma=1186202742
36585309749 B1=2000, B2=147396, sigma=3954038120
37718663887 B1=2000, B2=675370, sigma=2333749427[0m
38349897631 B1=2000, B2=147396, sigma=3999840345
38484064999 B1=2000, B2=147396, sigma=220469989
39515706029 B1=2000, B2=748686, sigma=381293188[0m
39842344109 B1=2000, B2=147396, sigma=865865479
39861350759 B1=2000, B2=675370, sigma=1475969719[0m
41789321347 B1=2000, B2=147396, sigma=3399882889
43695900587 B1=2000, B2=147396, sigma=69678483
43957984817 B1=2000, B2=675370, sigma=1487435391[0m
44446527017 B1=2000, B2=675370, sigma=2595050868[0m
45529233437 B1=2000, B2=147396, sigma=2206856726
46430600369 B1=2000, B2=748686, sigma=3284070754[0m
48547673137 B1=2000, B2=675370, sigma=3577186895[0m
48936619493 B1=2000, B2=147396, sigma=1684689050
49384457203 B1=2000, B2=147396, sigma=2747007793
50501247331 B1=2000, B2=147396, sigma=1519295489
53229190741 B1=2000, B2=675370, sigma=2708106655[0m
53420805527 B1=2000, B2=748686, sigma=103889270[0m
53991648409 B1=2000, B2=748686, sigma=807992906[0m
54897513763 B1=2000, B2=147396, sigma=119865316
55497591013 B1=2000, B2=147396, sigma=2276044304
56430970853 B1=2000, B2=147396, sigma=1872701646
58061454767 B1=2000, B2=675370, sigma=1748650000[0m
60415984619 B1=2000, B2=675370, sigma=690328989[0m
61927825171 B1=2000, B2=675370, sigma=3903741059[0m
64014445337 B1=2000, B2=147396, sigma=2780487138
64587005213 B1=2000, B2=147396, sigma=654428683
66722248451 B1=2000, B2=675370, sigma=2617394247[0m
66813976681 B1=2000, B2=147396, sigma=32321576
68799222337 B1=2000, B2=675370, sigma=1577188540[0m
78355519051 B1=2000, B2=147396, sigma=1370912645
79248787703 B1=2000, B2=675370, sigma=640427359[0m
80924260873 B1=2000, B2=147396, sigma=121824749
81143882621 B1=2000, B2=147396, sigma=149582370
83931104839 B1=2000, B2=147396, sigma=4235386818
87473348597 B1=2000, B2=147396, sigma=3821625045
89486458693 B1=2000, B2=748686, sigma=3963937948[0m
93708109961 B1=2000, B2=147396, sigma=2417756246
102411507767 B1=2000, B2=748686, sigma=2800779916[0m
106472331029 B1=2000, B2=748686, sigma=596944896[0m
108743710721 B1=2000, B2=147396, sigma=3146186258
110480451611 B1=2000, B2=675370, sigma=3658980927[0m
112910429909 B1=2000, B2=748686, sigma=3713167066[0m
113023481023 B1=2000, B2=748686, sigma=3702112789[0m
115724929813 B1=2000, B2=147396, sigma=2954859462
118274390327 B1=2000, B2=147396, sigma=1734095682
120447337481 B1=2000, B2=147396, sigma=3137468567
121840299359 B1=2000, B2=675370, sigma=1342663635[0m
125689520027 B1=2000, B2=748686, sigma=1882660205[0m
126000662503 B1=2000, B2=147396, sigma=2013311014
129892619771 B1=2000, B2=748686, sigma=2272963736[0m
130043339941 B1=2000, B2=675370, sigma=171307676[0m
133588478879 B1=2000, B2=147396, sigma=665696467
134683278823 B1=2000, B2=675370, sigma=421628428[0m
148880811229 B1=2000, B2=147396, sigma=3399367107
151153889009 B1=2000, B2=147396, sigma=2603940785
152689518901 B1=2000, B2=147396, sigma=3400537406
153532951339 B1=2000, B2=147396, sigma=948608938
165344678029 B1=2000, B2=748686, sigma=1477068404[0m
166786214813 B1=2000, B2=675370, sigma=1462026311[0m
179360027753 B1=2000, B2=675370, sigma=1513105716[0m
188102442967 B1=2000, B2=147396, sigma=220530169
209232630083 B1=2000, B2=675370, sigma=351416769[0m
210674312683 B1=2000, B2=748686, sigma=69794466[0m
211861226201 B1=2000, B2=748686, sigma=3987901328[0m
218336200679 B1=2000, B2=675370, sigma=1335791854[0m
218905155779 B1=2000, B2=147396, sigma=590630483
228816548563 B1=2000, B2=675370, sigma=3937189724[0m
233410200293 B1=2000, B2=675370, sigma=2191089873[0m
234729056189 B1=2000, B2=147396, sigma=3262605805
238563706391 B1=2000, B2=675370, sigma=3843445911[0m
241710485561 B1=2000, B2=147396, sigma=3775162018
244578391567 B1=2000, B2=147396, sigma=619983739
261888281917 B1=2000, B2=748686, sigma=1947519841[0m
270451612373 B1=2000, B2=675370, sigma=2889015481[0m
272997564989 B1=2000, B2=748686, sigma=2393598777[0m
293938850327 B1=2000, B2=147396, sigma=1234881037
300773256739 B1=2000, B2=147396, sigma=966794882
319965810511 B1=2000, B2=147396, sigma=1120271933
322927280999 B1=2000, B2=675370, sigma=664301846[0m
333044380811 B1=2000, B2=147396, sigma=758590644
349992326149 B1=2000, B2=147396, sigma=2310338787
383713850381 B1=2000, B2=147396, sigma=714826405
409552731311 B1=2000, B2=147396, sigma=3814383084
423993325583 B1=2000, B2=147396, sigma=3726806495
444951829771 B1=2000, B2=675370, sigma=1493602758[0m
447919046131 B1=2000, B2=748686, sigma=2938827455[0m
475648847039 B1=2000, B2=147396, sigma=392153659
500096857133 B1=2000, B2=147396, sigma=1383558119
508754443481 B1=2000, B2=675370, sigma=1478889016[0m
543369331487 B1=2000, B2=748686, sigma=2302738831[0m
574200481787 B1=2000, B2=147396, sigma=1378078686
582700922591 B1=2000, B2=147396, sigma=3320351213
586053966671 B1=2000, B2=147396, sigma=3250862340
598019705659 B1=2000, B2=675370, sigma=1728237661[0m
659189784521 B1=2000, B2=147396, sigma=723971428
687252312871 B1=2000, B2=675370, sigma=1846618375[0m
744433619399 B1=2000, B2=748686, sigma=3674981914[0m
744490128079 B1=2000, B2=147396, sigma=3501472835
756257851499 B1=2000, B2=748686, sigma=205889206[0m
758977878343 B1=2000, B2=147396, sigma=1407558339
772755044099 B1=2000, B2=748686, sigma=2273636967[0m
803585386579 B1=2000, B2=675370, sigma=4209589891[0m
818132470861 B1=2000, B2=147396, sigma=2799566720
827779828387 B1=2000, B2=147396, sigma=2815377656
859498156943 B1=2000, B2=675370, sigma=4010658115[0m
876696219253 B1=2000, B2=748686, sigma=363140206[0m
913052572189 B1=2000, B2=675370, sigma=1296302323[0m
1029586256219 B1=2000, B2=675370, sigma=3527017681[0m
1050586121171 B1=2000, B2=147396, sigma=265344364
1059030664807 B1=2000, B2=675370, sigma=523290977[0m
1166555545781 B1=2000, B2=675370, sigma=915144475[0m
1245555286013 B1=2000, B2=675370, sigma=1120932830[0m
1258735703353 B1=2000, B2=675370, sigma=844232049[0m
1278514521917 B1=2000, B2=147396, sigma=214983361
1282456665433 B1=2000, B2=147396, sigma=2361967627
1344633878897 B1=2000, B2=675370, sigma=524578697[0m
1384925906267 B1=2000, B2=748686, sigma=3915179930[0m
1412392901189 B1=2000, B2=675370, sigma=2759026504[0m
1415292778489 B1=2000, B2=748686, sigma=2492657322[0m
1501301036617 B1=2000, B2=748686, sigma=2746428352[0m
1574316932809 B1=2000, B2=147396, sigma=50615467
1643455121531 B1=2000, B2=675370, sigma=4036072925[0m
1776186480671 B1=2000, B2=147396, sigma=2604322726
1941475945693 B1=2000, B2=147396, sigma=365399298
2001133562119 B1=2000, B2=147396, sigma=3503209764
2125469595901 B1=2000, B2=147396, sigma=1781811229
2158809106877 B1=2000, B2=147396, sigma=2368382918
2295057759311 B1=2000, B2=147396, sigma=2394359061
2334759978587 B1=2000, B2=147396, sigma=1135679225
2445884785997 B1=2000, B2=147396, sigma=2955358533
2596374286157 B1=2000, B2=675370, sigma=2627655027[0m
2629132617719 B1=2000, B2=147396, sigma=544845000
2689217389847 B1=2000, B2=675370, sigma=1876024580[0m
2773478372491 B1=2000, B2=147396, sigma=3201922425
2786280843713 B1=2000, B2=748686, sigma=3147764125[0m
3013003037159 B1=2000, B2=748686, sigma=2724695298[0m
3145601813461 B1=2000, B2=675370, sigma=1293316303[0m
3262165784497 B1=2000, B2=147396, sigma=3611972751
3293906795099 B1=2000, B2=748686, sigma=601461181[0m
3310811360189 B1=2000, B2=147396, sigma=1353801023
3355892782859 B1=2000, B2=748686, sigma=315134500[0m
3379230434537 B1=2000, B2=147396, sigma=3659968823
3407856943901 B1=2000, B2=147396, sigma=3172752915
3457245870667 B1=2000, B2=147396, sigma=1373764825
3478016516329 B1=2000, B2=748686, sigma=4257033239[0m
3490259843099 B1=2000, B2=147396, sigma=664460152
3526657208609 B1=260000000, B2=3178559884516, sigma=111785687
3786868427233 B1=2000, B2=147396, sigma=2053787206
3995386699043 B1=2000, B2=748686, sigma=2323787918[0m
4091198321971 B1=2000, B2=748686, sigma=3948164715[0m
4390481199227 B1=2000, B2=675370, sigma=3835211801[0m
4544102765009 B1=2000, B2=147396, sigma=1141668381
4655305183609 B1=2000, B2=675370, sigma=3043418874[0m
4844700777277 B1=2000, B2=675370, sigma=780007209[0m
5126734751053 B1=2000, B2=147396, sigma=15108647
5208805052081 B1=2000, B2=748686, sigma=1988998558[0m
5859792767359 B1=2000, B2=147396, sigma=146953050
5960512684583 B1=2000, B2=748686, sigma=4231628347[0m
6989988118843 B1=2000, B2=147396, sigma=1202635370
8119172776007 B1=2000, B2=147396, sigma=545679195
8581666150511 B1=2000, B2=147396, sigma=1023285636
10508308470251 B1=2000, B2=675370, sigma=3260755711[0m
10587745425193 B1=2000, B2=675370, sigma=3278415799[0m
10682788858921 B1=2000, B2=675370, sigma=2824312036[0m
11044381817761 B1=2000, B2=147396, sigma=850496289
11379425332973 B1=2000, B2=748686, sigma=3863926396[0m
11648452218443 B1=2000, B2=748686, sigma=3496583855[0m
11651149356787 B1=2000, B2=147396, sigma=1032267945
11759349371281 B1=2000, B2=748686, sigma=739963105[0m
12460427407651 B1=2000, B2=748686, sigma=577935361[0m
12605144827571 B1=2000, B2=147396, sigma=2130139750
13792316676421 B1=2000, B2=147396, sigma=2019055414
14156648533123 B1=2000, B2=147396, sigma=993086457
14384115184457 B1=2000, B2=748686, sigma=208216572[0m
15315306603329 B1=2000, B2=147396, sigma=2216300445
15405356966843 B1=2000, B2=147396, sigma=3751900771
16855547451683 B1=2000, B2=147396, sigma=2923717299
17205343256107 B1=2000, B2=675370, sigma=1747378986[0m
19278858214183 B1=2000, B2=748686, sigma=286610191[0m
20794692192709 B1=2000, B2=147396, sigma=1132683889
21055246130431 B1=2000, B2=147396, sigma=3526660521
21291871360477 B1=2000, B2=748686, sigma=1879577740[0m
25033617574751 B1=2000, B2=748686, sigma=1793351949[0m
25161206052923 B1=2000, B2=147396, sigma=1017203563
27582284664523 B1=2000, B2=147396, sigma=1172929534
33430884645943 B1=2000, B2=147396, sigma=3271718590
34104098283457 B1=2000, B2=147396, sigma=786379709
38772961901759 B1=2000, B2=147396, sigma=3266924634
39086952939511 B1=2000, B2=675370, sigma=2137770970[0m
41615272149173 B1=2000, B2=147396, sigma=2734917011
47952084810871 B1=2000, B2=675370, sigma=3804724511[0m
50573004637447 B1=2000, B2=675370, sigma=2566599319[0m
51760795056071 B1=2000, B2=748686, sigma=1588633960[0m
52468317311183 B1=2000, B2=147396, sigma=3167498507
54173232154421 B1=2000, B2=675370, sigma=238407880[0m
65390922032783 B1=2000, B2=675370, sigma=3256728372[0m
68107170507377 B1=2000, B2=147396, sigma=1176235543
70366959820583 B1=2000, B2=147396, sigma=1221603377
72101631870481 B1=2000, B2=748686, sigma=137211116[0m
73348151365799 B1=2000, B2=147396, sigma=4148726155
76756372179859 B1=2000, B2=147396, sigma=277586397
81136751403599 B1=2000, B2=748686, sigma=2267244048[0m
82747213876133 B1=2000, B2=748686, sigma=255823844[0m
84361794735601 B1=2000, B2=147396, sigma=1083346108
84375321680233 B1=2000, B2=748686, sigma=2378271711[0m
86497306165727 B1=2000, B2=748686, sigma=2193354400[0m
88253472616471 B1=2000, B2=748686, sigma=1942234383[0m
92426936181131 B1=2000, B2=675370, sigma=1928583966[0m
97152540060449 B1=2000, B2=748686, sigma=137495357[0m
100192070117707 B1=2000, B2=147396, sigma=487027762
100938895671041 B1=2000, B2=147396, sigma=2448531226
102685743415511 B1=2000, B2=147396, sigma=197814871
143712333543671 B1=2000, B2=147396, sigma=2336445001
146193880168703 B1=2000, B2=147396, sigma=2348992114
148923295731643 B1=2000, B2=147396, sigma=5216067
153770798832863 B1=2000, B2=147396, sigma=2942234323
153803905393903 B1=2000, B2=147396, sigma=1796560793
155293906473613 B1=2000, B2=675370, sigma=1672819122[0m
163403913964079 B1=2000, B2=147396, sigma=1966675495
166263447657053 B1=2000, B2=147396, sigma=3932505765
171267649917457 B1=2000, B2=748686, sigma=3403156417[0m
181671389813899 B1=2000, B2=147396, sigma=847666978
185692102620653 B1=2000, B2=147396, sigma=75521644
193603207981577 B1=2000, B2=675370, sigma=3526392420[0m
204636358422053 B1=2000, B2=147396, sigma=762812847
228359400821971 B1=2000, B2=675370, sigma=3031602779[0m
230564060602657 B1=2000, B2=675370, sigma=1992907720[0m
273171882040349 B1=2000, B2=147396, sigma=842389482
281862535884901 B1=2000, B2=147396, sigma=971301754
287254074804089 B1=2000, B2=675370, sigma=3485998746[0m
301628280419437 B1=2000, B2=147396, sigma=138353011
319286737967279 B1=2000, B2=147396, sigma=2332154795
343321075527211 B1=2000, B2=748686, sigma=3516546744[0m
366474235297349 B1=2000, B2=147396, sigma=2105872908
376914754421591 B1=2000, B2=748686, sigma=2177857880[0m
402914358627323 B1=2000, B2=675370, sigma=4213535459[0m
424294158817079 B1=2000, B2=147396, sigma=1314360213
437575439276867 B1=2000, B2=147396, sigma=3078985544
444985586228549 B1=2000, B2=147396, sigma=3109185998
447769330866719 B1=2000, B2=748686, sigma=3570526592[0m
460983004905023 B1=2000, B2=147396, sigma=142751706
476114895323303 B1=2000, B2=147396, sigma=1283772044
559694606737627 B1=2000, B2=147396, sigma=189422945
621524618178803 B1=2000, B2=147396, sigma=3671564204
635320277255401 B1=2000, B2=147396, sigma=1578940692
659936420949287 B1=2000, B2=147396, sigma=1936581000
763213452319753 B1=2000, B2=675370, sigma=2814713755[0m
805566954488327 B1=2000, B2=147396, sigma=549527057
851318567900461 B1=2000, B2=748686, sigma=645453156[0m
937686448130879 B1=2000, B2=748686, sigma=2302417620[0m
968465696771477 B1=2000, B2=748686, sigma=814327393[0m
982086062495123 B1=2000, B2=748686, sigma=1210514655[0m
990112675997927 B1=2000, B2=147396, sigma=1017639681
1055161988863897 B1=2000, B2=748686, sigma=2173651216[0m
1119878451845297 B1=2000, B2=147396, sigma=3420357177
1374114490723987 B1=2000, B2=147396, sigma=1103644800
1377011249317267 B1=2000, B2=147396, sigma=555341362
1384033904920169 B1=2000, B2=675370, sigma=4150280753[0m
1448203474576567 B1=2000, B2=147396, sigma=2149488713
1498272950051687 B1=11000, B2=1873422, sigma=3520384972
1527178428987073 B1=2000, B2=147396, sigma=2117186753
1641390645642401 B1=2000, B2=147396, sigma=732314058
1648122858916907 B1=2000, B2=147396, sigma=3261126833
1755888679270787 B1=2000, B2=147396, sigma=2432316248
1881165630333973 B1=2000, B2=675370, sigma=1587581346[0m
2467648060857709 B1=2000, B2=147396, sigma=240722205
2573442829612177 B1=2000, B2=147396, sigma=3769813170
2811927855050443 B1=2000, B2=748686, sigma=4169768546[0m
3111840291443309 B1=2000, B2=147396, sigma=1744972426
3631612977721657 B1=2000, B2=147396, sigma=2268597025
3642153103178453 B1=2000, B2=147396, sigma=2337588490
3739378135879817 B1=2000, B2=675370, sigma=2610755646[0m
3902677929095573 B1=2000, B2=147396, sigma=1520008700
4144009052095229 B1=2000, B2=147396, sigma=582030036
4303030424041091 B1=2000, B2=147396, sigma=1669914396
4938445441315097 B1=2000, B2=147396, sigma=865787529
5777369145600523 B1=2000, B2=147396, sigma=3928159656
6168049885062311 B1=2000, B2=147396, sigma=2834476939
6257235647913959 B1=2000, B2=748686, sigma=1367775473[0m
6387543598889363 B1=2000, B2=147396, sigma=1725611184
7059250988108699 B1=2000, B2=147396, sigma=4058172823
7398299877696361 B1=2000, B2=675370, sigma=1806465814[0m
7730678817995423 B1=2000, B2=147396, sigma=1575283837
10188279666911009 B1=2000, B2=147396, sigma=3993102868
10473924652423033 B1=11000, B2=1873422, sigma=675509654
12441245443178303 B1=2000, B2=147396, sigma=2941194016
13889948585660431 B1=2000, B2=147396, sigma=1221477550
16305131649598763 B1=2000, B2=675370, sigma=2544069919[0m
16676035951378409 B1=2000, B2=675370, sigma=1547445540[0m
17001124745818979 B1=2000, B2=147396, sigma=1684735035
18988156950973201 B1=2000, B2=147396, sigma=1191883701
23889292410664613 B1=2000, B2=675370, sigma=3491200625[0m
24902402522691619 B1=11000, B2=1873422, sigma=2711283746
25756811129616643 B1=2000, B2=147396, sigma=3831008936
33895097081399329 B1=2000, B2=147396, sigma=2742749994
39678183022511147 B1=2000, B2=147396, sigma=1218768707
40120394774259113 B1=2000, B2=147396, sigma=3448016913
41129761871787443 B1=2000, B2=748686, sigma=768628406[0m
44497909856565943 B1=2000, B2=675370, sigma=1985564220[0m
47917445508632099 B1=2000, B2=147396, sigma=2877465137
49424563137824993 B1=2000, B2=147396, sigma=1990024756
49912940749208063 B1=2000, B2=147396, sigma=1478291887
49984124958080227 B1=2000, B2=147396, sigma=2074113495
50818745583562057 B1=11000, B2=1873422, sigma=4114660694
54137615537481233 B1=2000, B2=675370, sigma=1693611542[0m
55361303605627703 B1=2000, B2=147396, sigma=3110652518
56213047333511819 B1=2000, B2=147396, sigma=535716028
57420887281378373 B1=2000, B2=147396, sigma=47665287
60389790191457817 B1=2000, B2=675370, sigma=4017732741[0m
61085562468891281 B1=2000, B2=748686, sigma=3527784737[0m
65665363877655791 B1=2000, B2=147396, sigma=693053653
85853048259788743 B1=2000, B2=147396, sigma=3707335544
105230442954800143 B1=2000, B2=147396, sigma=679137448
138416854679990063 B1=2000, B2=147396, sigma=100092695
162038855106197039 B1=2000, B2=675370, sigma=2913230757[0m
163055267003817449 B1=2000, B2=147396, sigma=1881008330
178229465245596851 B1=2000, B2=147396, sigma=3000121619
190724056477002703 B1=2000, B2=147396, sigma=3723658508
204060646212109607 B1=2000, B2=147396, sigma=1881635500
213086623321580237 B1=2000, B2=147396, sigma=221143187
251658919597901297 B1=2000, B2=147396, sigma=1767195548
